school_name,latitude,longitude
3K CENTER @ 1010 THIRD AVENUE - MANHATTAN,40.762278,-73.966071
3K CENTER @ 104-72 ROOSEVELT AVENUE - QUEENS,40.750445,-73.85966
3K CENTER @ 10 ELM STREET - STATEN ISLAND,40.641761,-74.114913
3K CENTER @ 129 VAN BRUNT STREET - BROOKLYN,40.68417,-74.00556
3K CENTER @ 1450 PLIMPTON AVENUE - BRONX,40.843998,-73.922008
3K CENTER @ 1972 BROADWAY - MANHATTAN,40.774373,-73.9822
3K CENTER @ 36-31 38 STREET - QUEENS,40.753292,-73.924684
3K CENTER @ 365 BAY STREET - STATEN ISLAND,40.633326,-74.075253
3K CENTER @ 403 EAST 65 STREET - MANHATTAN,40.763163,-73.958728
3K CENTER @ 48-18 VAN DAM STREET - QUEENS,40.740653,-73.934395
3K CENTER @ 841 FATHER CAPODANNO BOULEVARD - STATEN ISLAND,40.575493,-74.08351
3K CENTER @ 98-05 63 DRIVE - QUEENS,40.731041,-73.858586
ABRAHAM LINCOLN HS - BROOKLYN,40.581681,-73.967308
ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL - K,40.683536,-73.87691
ADULT AND CONTINUING EDUCATION,40.681233,-73.949737
ALC - BROOKLYN CHOICES,40.702083,-73.929647
ALC-JANE ADDAMS HS,40.821675,-73.903546
ALFRED E. SMITH HS - X,40.818232,-73.919867
ALFRED E. SMITH HS - X,40.818232,-73.919867
ANNEX @ 57 CLEVELAND PLACE - STATEN ISLAND,40.602182,-74.068818
AUGUST MARTIN HS - QUEENS,40.675633,-73.783342
AUGUST MARTIN HS - QUEENS,40.675633,-73.783342
AVIATION HS - QUEENS,40.743509,-73.929076
AVIATION HS - QUEENS,40.743509,-73.929076
BACCALAUREATE SCL FOR GLOBAL ED-Q,40.755366,-73.927169
BARD COLLEGE HS - MANHATTAN,40.719029,-73.975891
BARD COLLEGE HS - MANHATTAN,40.719029,-73.975891
BAYSIDE HIGH SCHOOL - QUEENS,40.771755,-73.780296
BENJAMIN N. CARDOZO HS - QUEENS,40.752333,-73.75599
BENJAMIN N. CARDOZO HS - QUEENS,40.752333,-73.75599
BENJAMIN N. CARDOZO HS - QUEENS,40.752333,-73.75599
BERGTRAUM HS - MANHATTAN,40.711442,-74.000851
BERGTRAUM HS - MANHATTAN,40.711442,-74.000851
BERGTRAUM HS - MANHATTAN,40.711442,-74.000851
BERGTRAUM HS - MANHATTAN,40.711442,-74.000851
BERGTRAUM HS - MANHATTAN,40.711442,-74.000851
BERGTRAUM HS - MANHATTAN,40.711442,-74.000851
BOYS & GIRLS HS - BROOKLYN,40.67944,-73.932407
BOYS & GIRLS HS - BROOKLYN,40.67944,-73.932407
BOYS PREPARATORY CHARTER SCHOOL OF THE BRONX,40.818467,-73.868372
BRIGHTER CHOICE COMMUN SCHL - K,40.694086,-73.940744
BRIGHTER CHOICE COMMUN SCHL - K,40.694086,-73.940744
BRONX HS FOR THE VISUAL ARTS - BRONX,40.851285,-73.865184
BRONX INTERNATIONAL - BRONX,40.827642,-73.904473
BRONX INTERNATIONAL - BRONX,40.827642,-73.904473
BRONX INTERNATIONAL - BRONX,40.827642,-73.904473
BRONX INTERNATIONAL - BRONX,40.827642,-73.904473
BRONX LAB SCHOOL - BRONX,40.875953,-73.86197
BRONX LAB SCHOOL - BRONX,40.875953,-73.86197
BRONX LAB SCHOOL - BRONX,40.875953,-73.86197
BROOKLYN ACADEMY HS - BROOKLYN,40.685004,-73.947152
BROOKLYN COMMUNITY ARTS & MEDIA HIGH SCHOOL (BCAM),40.692642,-73.958794
BROOKLYN COMMUNITY HIGH SCHOOL FOR EXCELLENCE AND,40.633285,-73.916735
BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY - K,40.688831,-73.920906
BROOKLYN HS OF THE ARTS - BROOKLYN,40.684504,-73.980678
BROOKLYN HS OF THE ARTS - BROOKLYN,40.684504,-73.980678
BROOKLYN INTERNATIONAL HS - K,40.697339,-73.985016
BROOKLYN LANDMARK ELEMENTARY SCHOOL,40.680318,-73.910644
BROOKLYN LANDMARK ELEMENTARY SCHOOL,40.680318,-73.910644
BROOKLYN TECH HS - K,40.688834,-73.976905
BROOKLYN TECH HS - K,40.688834,-73.976905
BROOKLYN TECH HS - K,40.688834,-73.976905
BROOKLYN TECH HS - K,40.688834,-73.976905
BROOKLYN TECH HS - K,40.688834,-73.976905
BUSHWICK LEADERS - K,40.695056,-73.92814
BX ENGINEERING & TECH ACADEMY - X,40.877105,-73.912256
CHANNEL VIEW SCL FOR RESEARCH - Q,40.586066,-73.822624
CHANNEL VIEW SCL FOR RESEARCH - Q,40.586066,-73.822624
CITY-AS-SCHOOL - MANHATTAN,40.729412,-74.006242
CITY-AS-SCHOOL - MANHATTAN,40.729412,-74.006242
CLARA BARTON HS - K,40.669567,-73.961962
COLLEGE POINT COLLABORATIVE - QUEENS,40.785327,-73.843749
CONCORD HS - R,40.610868,-74.087379
CONEY ISLAND #1 HEAD START,40.573588,-73.992855
CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOO,40.883025,-73.830366
COY L. COX SCHOOL,40.687257,-73.983579
CSI HS FOR INTERNATIONAL STUDIES - R,40.581315,-74.158589
CURIOUS YOUNG LEARNERS PRE-K CENTER,40.692032,-73.856091
CURTIS HS - STATEN ISLAND,40.644735,-74.081222
D75 SCHOOL @ 1514 72 STREET - BROOKLYN,40.619061,-74.000753
DEWITT CLINTON HS - X,40.882178,-73.88691
DISTRICT OFFICE #18 - BROOKLYN,40.643584,-73.903479
EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,40.817372,-73.947712
EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE  -K,40.669387,-73.879614
EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE  -K,40.669387,-73.879614
EAST NY FAMILY ACADEMY - BROOKLYN,40.661319,-73.8863
EAST SIDE COMMUNITY SCHOOL,40.729589,-73.982555
EAST SIDE COMMUNITY SCHOOL,40.729589,-73.982555
EBC HS FOR PUB. SERV. - BUSHWICK-K,40.694507,-73.929107
EDUCATIONAL CAMPUS @ 2202 60 STREET - BROOKLYN,40.616479,-73.978093
EDUCATIONAL CAMPUS @ 500 19 STREET - BROOKLYN,40.656944,-73.983115
EDWARD R. MURROW HS - K,40.620525,-73.959285
ELM TREE ELEMENTARY SCHOOL,40.742167,-73.864109
E NY VOC HS OF TRANSIT TECH.-K,40.678276,-73.87596
EPIC HIGH SCHOOL - SOUTH,40.675771,-73.816938
FAIRMONT NEIGHBORHOOD SCHOOL,40.834157,-73.887512
FIORELLO LAGUARDIA HS - MANHATTAN,40.773629,-73.985273
FIORELLO LAGUARDIA HS - MANHATTAN,40.773629,-73.985273
FLUSHING HS - QUEENS,40.765166,-73.82789
FLUSHING HS - QUEENS,40.773675,-73.817441
FOREST HILLS HS - QUEENS,40.729402,-73.845637
FOREST HILLS HS - QUEENS,40.729402,-73.845637
FORT GREENE PREPARATORY ACADEMY - BROOKLYN,40.694633,-73.971165
FORT HAMILTON HS - K,40.627898,-74.039985
FORT HAMILTON HS - K,40.627898,-74.039985
FRANCIS LEWIS HS ANNEX - QUEENS,40.7405,-73.796851
FRANCIS LEWIS HS - QUEENS,40.740724,-73.79283
FRANCIS LEWIS HS - QUEENS,40.740724,-73.79283
FRANCIS LEWIS HS - QUEENS,40.740724,-73.79283
FRANKLIN D. ROOSEVELT HS - K,40.620446,-73.981795
FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,40.833511,-73.90449
GEORGE WASHINGTON CAMPUS YABC,40.855855,-73.92712
G MCCOWN EXPEDITIONARY LRNG SCL- R,40.581315,-74.158589
GRANT AVENUE ELEMENTARY SCHOOL,40.828696,-73.917668
GREGORIO LUPERON PREP. SCHOOL - M,40.838159,-73.938639
GROVER CLEVELAND HS - QUEENS,40.711033,-73.908814
GROVER CLEVELAND HS - QUEENS,40.711033,-73.908814
GROVER CLEVELAND HS - QUEENS,40.711033,-73.908814
G. WASHINGTON CARVER HS FOR SCI.-Q,40.668235,-73.756839
G. WASHINGTON CARVER HS FOR SCI.-Q,40.668235,-73.756839
HARLEM RENAISSANCE HS - M,40.807987,-73.940061
HARRY S. TRUMAN HS - X,40.874088,-73.833904
HARRY S. TRUMAN HS - X,40.874088,-73.833904
HEADQTRS 65 CNTRL ADMIN. - K,40.692012,-73.991227
HEALTH ARTS ROBOTICS AND TECHNOLOGY HS - Q,40.697819,-73.745728
HERBERT H. LEHMAN HS - X,40.840733,-73.838685
HERBERT H. LEHMAN HS - X,40.840733,-73.838685
HERBERT H. LEHMAN HS - X,40.840733,-73.838685
"HERO HIGH (HEALTH, EDUCATION, AND RESEARCH OCCUPAT",40.810803,-73.907015
"HERO HIGH (HEALTH, EDUCATION, AND RESEARCH OCCUPAT",40.810803,-73.907015
HIGHBRIDGE ADVISORY COUNCIL - BRONX,40.837232,-73.925706
HIGH SCHOOL FOR CIVIL RIGHTS - K,40.658428,-73.873063
HILLCREST HS - QUEENS,40.709079,-73.801856
HILLCREST HS - QUEENS,40.709079,-73.801856
HILLCREST HS - QUEENS,40.709079,-73.801856
HILLSIDE ACADEMY FOR ARTS AND LETTERS - Q,40.713218,-73.797237
HOLCOMBE L. RUCKER SCHOOLOF COMMUNITY RESEARCH - B,40.817512,-73.898212
H.S. @ 13-20 124 STREET - QUEENS,40.786356,-73.843876
H.S. @ 165-15 88 AVENUE - QUEENS,40.708691,-73.796674
H.S. @ 53-16 NORTHERN BOULEVARD - QUEENS,40.753192,-73.907839
H.S. 745 - BROOKLYN,40.658893,-73.942458
HS FOR ARTS & TECHNOLOGY - M,40.774351,-73.984753
HS FOR ARTS & TECHNOLOGY - M,40.774351,-73.984753
"HS FOR CONST.TRADES,ENGG.,& ARCH-Q",40.689591,-73.840717
HS FOR ENVIRONMENTAL STUDIES - M,40.767791,-73.987531
HS FOR HEALTH CAREER & SCIENCE - M,40.855855,-73.92712
HS FOR HEALTH CAREER & SCIENCE - M,40.855855,-73.92712
HS FOR HEALTH CAREER & SCIENCE - M,40.855855,-73.92712
HS FOR HEALTH CAREER & SCIENCE - M,40.855855,-73.92712
HS FOR HEALTH CAREER & SCIENCE - M,40.855855,-73.92712
HS FOR HEALTH CAREER & SCIENCE - M,40.855855,-73.92712
HS FOR HEALTH PROF & HUMAN SERV-M,40.732447,-73.983031
HS FOR HEALTH PROF & HUMAN SERV-M,40.732447,-73.983031
HS FOR HEALTH PROF & HUMAN SERV-M,40.732447,-73.983031
HS FOR INNOVATION IN AD - BKLYN,40.641474,-73.898254
HS FOR VIOLIN AND DANCE - BRONX,40.827642,-73.904473
HS OF BUSINESS - BRONX,40.840422,-73.91091
HS OF COMPUTERS & TECHNOLOGY - X,40.876341,-73.863195
HYDE LEADERSHIP CHARTER SCHOOL - X,40.815455,-73.88577
INNOVATION DIPLOMA PLUS,40.785803,-73.974614
INTERNATIONAL HIGH SCHOOL - K,40.594291,-73.98577
I.S. 109 - QUEENS,40.720713,-73.747001
I.S. 109 - QUEENS,40.720713,-73.747001
I.S. 10 - QUEENS,40.759363,-73.912902
I.S. 113 - BROOKLYN,40.688811,-73.971009
I.S. 117 - BRONX,40.848547,-73.908416
I.S. 118 - BRONX,40.848339,-73.89308
I.S. 119 - QUEENS,40.704406,-73.875183
I.S. 119 - QUEENS,40.704406,-73.875183
I.S. 119 - QUEENS,40.704406,-73.875183
I.S. 123 - BRONX,40.825403,-73.873666
I.S. 125 - QUEENS,40.741131,-73.918945
I.S. 126 - QUEENS,40.766264,-73.930709
I.S. 127 - BRONX,40.837931,-73.853524
I.S. 129 - BRONX,40.845878,-73.886184
I.S. 131 - BRONX,40.82346,-73.859647
I.S. 131 - BRONX,40.82346,-73.859647
I.S. 131 - MANHATTAN,40.716553,-73.993092
I.S. 141 - QUEENS,40.775589,-73.90509
I.S. 141 - QUEENS,40.775589,-73.90509
I.S. 143 - MANHATTAN,40.848908,-73.930948
I.S. 145 - QUEENS,40.754661,-73.887112
I.S. 151 - BRONX,40.823033,-73.921238
I.S. 162 - BROOKLYN,40.707229,-73.919805
I.S. 162 - BROOKLYN,40.707229,-73.919805
I.S. 171 - BROOKLYN,40.68618,-73.869625
I.S. 171 - BROOKLYN,40.68618,-73.869625
I.S. 181 - BRONX,40.875293,-73.83389
I.S. 201 - BROOKLYN,40.618676,-74.012722
I.S. 202 - QUEENS,40.67124,-73.845141
I.S. 202 - QUEENS,40.67124,-73.845141
I.S. 204 - QUEENS,40.757065,-73.932664
I.S. 204 - QUEENS,40.757065,-73.932664
I.S. 211 - BROOKLYN,40.643278,-73.896212
I.S. 217 - QUEENS,40.71003,-73.812508
I.S. 219 - BRONX,40.833511,-73.90449
I.S. 221 - BRONX,40.813785,-73.92032
I.S. 221 - BRONX,40.813785,-73.92032
I.S. 224 - MANHATTAN,40.785671,-73.942548
I.S. 227 - QUEENS,40.758408,-73.874472
I.S. 227 - QUEENS,40.758408,-73.874472
I.S. 227 - QUEENS,40.758408,-73.874472
I.S. 227 - QUEENS,40.758408,-73.874472
I.S. 228 - BROOKLYN,40.6013,-73.976953
I.S. 228 - BROOKLYN,40.6013,-73.976953
I.S. 22 - BRONX,40.833131,-73.914027
I.S. 234 - BROOKLYN,40.60422,-73.955485
I.S. 238 - QUEENS,40.713094,-73.780468
I.S. 239 - BROOKLYN,40.578188,-73.99203
I.S. 239 - BROOKLYN,40.578188,-73.99203
I.S. 241 - BRONX,40.839244,-73.901316
I.S. 241 - BRONX,40.839244,-73.901316
I.S. 246 - BROOKLYN,40.648608,-73.952821
I.S. 24 - STATEN ISLAND,40.546081,-74.14584
I.S. 255 - MANHATTAN,40.735751,-73.981655
I.S. 259 - BROOKLYN,40.62668,-74.01512
I.S. 265 - BROOKLYN,40.696324,-73.97578
I.S. 267 - BROOKLYN,40.68832,-73.932275
I.S. 278 - BROOKLYN,40.60665,-73.939176
I.S. 281 - BROOKLYN,40.595341,-73.993457
I.S. 281 - BROOKLYN,40.595341,-73.993457
I.S. 291 - BROOKLYN,40.695362,-73.915142
I.S. 291 - BROOKLYN,40.695362,-73.915142
I.S. 2 - BROOKLYN,40.656183,-73.951583
I.S. 2 - BROOKLYN,40.656183,-73.951583
I.S. 2 - STATEN ISLAND,40.576725,-74.100726
I.S. 301 - BRONX,40.822474,-73.907194
I.S. 302 - BRONX,40.815429,-73.902139
I.S. 303 - BRONX,40.849532,-73.916077
I.S. 303 - BROOKLYN,40.5825,-73.973122
I.S. 319 - MANHATTAN,40.839305,-73.936159
I.S. 324 - MANHATTAN,40.839305,-73.936159
I.S. 340 - BROOKLYN,40.676094,-73.97038
I.S. 340 - BROOKLYN,40.676094,-73.97038
I.S. 340 - BROOKLYN,40.676094,-73.97038
I.S. 348 - MANHATTAN,40.848925,-73.931028
I.S. 349 - BROOKLYN,40.70069,-73.927481
I.S. 35 - BROOKLYN,40.681904,-73.935895
I.S. 362 - MANHATTAN,40.810431,-73.955809
I.S. 391 - BRONX,40.854515,-73.896703
I.S. 391 - BRONX,40.854515,-73.896703
I.S. 394 - BROOKLYN,40.672762,-73.927973
I.S. 394 - BROOKLYN,40.672762,-73.927973
I.S. @ 4002 FORT HAMILTON PARKWAY - BROOKLYN,40.642614,-73.991338
I.S. @ 4002 FORT HAMILTON PARKWAY - BROOKLYN,40.642614,-73.991338
I.S. 419 - QUEENS,40.7599,-73.859211
I.S. 424 - BRONX,40.815455,-73.88577
I.S. 424 - BRONX,40.815455,-73.88577
I.S. 443 - BROOKLYN,40.660976,-73.988297
I.S. 447 - BRONX,40.854872,-73.903458
I.S. 448 - BROOKLYN,40.68007,-74.001377
I.S. 452,40.64726,-73.881114
I.S. @ 47-10 BARNETT AVENUE - QUEENS,40.750017,-73.915867
I.S. 492- BROOKLYN,40.686076,-73.945229
I.S. 49 - STATEN ISLAND,40.620347,-74.081643
I.S. 527 - BROOKLYN,40.694682,-73.988853
I.S. 528 - MANHATTAN,40.85051,-73.934485
I.S. 528 - MANHATTAN,40.85051,-73.934485
I.S. 529 - BRONX,40.884953,-73.840524
I.S. 529 - BRONX,40.884953,-73.840524
I.S. 529 - BRONX,40.884953,-73.840524
I.S. 53 - QUEENS,40.603622,-73.749097
I.S. 53 - QUEENS,40.603622,-73.749097
I.S. 54 - MANHATTAN,40.800119,-73.962837
I.S. 556 - BRONX,40.862109,-73.864577
I.S. 59 - QUEENS,40.68173,-73.753429
I.S. 59 - QUEENS,40.68173,-73.753429
I.S. 5 - QUEENS,40.737918,-73.887407
I.S. 62 - BROOKLYN,40.638686,-73.971651
I.S. 62 - BROOKLYN,40.638686,-73.971651
I.S. @ 6315 14 AVENUE - BROOKLYN,40.625671,-73.998253
I.S. @ 650 86 STREET - BROOKLYN,40.618851,-74.021875
I.S. 653 - BROOKLYN,40.681392,-73.973655
I.S. 68 - BROOKLYN,40.635553,-73.91079
I.S. 71 - BROOKLYN,40.703624,-73.953146
I.S. 72 - STATEN ISLAND,40.593005,-74.158988
I.S. 72 - STATEN ISLAND,40.593005,-74.158988
I.S. 73 - QUEENS,40.729215,-73.893624
I.S. 73 - QUEENS,40.729215,-73.893624
I.S. 73 - QUEENS,40.729215,-73.893624
I.S. 74 - QUEENS,40.745201,-73.767446
I.S. 74 - QUEENS,40.745201,-73.767446
I.S. 75 - STATEN ISLAND,40.54438,-74.197897
I.S. 75 - STATEN ISLAND,40.54438,-74.197897
I.S. 77 - QUEENS,40.699516,-73.90214
I.S. 78 - BROOKLYN,40.621224,-73.91287
I.S. 78 - BROOKLYN,40.621224,-73.91287
I.S. 839 - MANHATTAN,40.724435,-73.981521
I.S. 88 - BROOKLYN,40.660024,-73.987637
I.S. 93 - QUEENS,40.706041,-73.902584
I.S. 96 - BROOKLYN,40.60754,-73.984661
I.S. 98 - BRONX,40.8359,-73.890458
I.S. 98 - BROOKLYN,40.583125,-73.954037
IT TAKES A VILLAGE ACADEMY - K,40.648657,-73.922171
IT TAKES A VILLAGE ACADEMY - K,40.648657,-73.922171
IT TAKES A VILLAGE ACADEMY - K,40.648657,-73.922171
IT TAKES A VILLAGE ACADEMY - K,40.648657,-73.922171
JAMAICA GATEWAY TO THE SCIENCES - Q,40.713218,-73.797237
JAMES BALDWIN SCHOOL - MANHATTAN,40.742867,-74.002136
JAMES MADISON HS - BROOKLYN,40.609912,-73.948512
J.H.S. 158 - QUEENS,40.756139,-73.772862
J.H.S. 172 - QUEENS,40.741944,-73.712965
J.H.S. 189 - QUEENS,40.759844,-73.820548
J.H.S. 190 - QUEENS,40.722707,-73.851699
J.H.S. 190 - QUEENS,40.722707,-73.851699
J.H.S. 194 - QUEENS,40.78365,-73.807838
J.H.S. 194 - QUEENS,40.78365,-73.807838
J.H.S. 216 - QUEENS,40.737517,-73.794031
J.H.S. 216 - QUEENS,40.737517,-73.794031
J.H.S. 216 - QUEENS,40.737517,-73.794031
J.H.S. 216 - QUEENS,40.737517,-73.794031
J.H.S. 216 - QUEENS,40.737517,-73.794031
J.H.S. 237 - QUEENS,40.749545,-73.822073
J.H.S. 237 - QUEENS,40.749545,-73.822073
J.H.S. 25 - QUEENS,40.765133,-73.790083
J.H.S. 47 (SCH FOR THE DEAF) - M,40.738548,-73.982455
J.H.S. 47 (SCH FOR THE DEAF) - M,40.738548,-73.982455
J.H.S. 50 - BROOKLYN,40.711704,-73.960275
J.H.S. 50 - BROOKLYN,40.711704,-73.960275
J.H.S. 52 - MANHATTAN,40.866053,-73.924835
J.H.S. 67 - QUEENS,40.762708,-73.733694
J.H.S. 72 - QUEENS,40.673769,-73.775951
JILL CHAIFETZ TRANSFER HIGH SCHOOL - BRONX,40.819006,-73.905869
JOHN BOWNE HS ANNEX - QUEENS,40.739504,-73.823258
JOHN BOWNE HS - QUEENS,40.738139,-73.824944
JOHN DEWEY HS - BROOKLYN,40.589268,-73.981738
JOHN DEWEY HS - BROOKLYN,40.589268,-73.981738
JULIA RICHMAN H.S.,40.765359,-73.960059
K000 - BROOKLYN,40.619061,-74.000753
K036 SPED - BROOKLYN,40.660134,-73.887023
K140 SPED - BROOKLYN,40.681572,-73.945446
K368 SPED - BROOKLYN,40.697152,-73.946641
K368 SPED - BROOKLYN,40.697152,-73.946641
K370 SPED - BROOKLYN,40.57752,-73.969517
K371 SPED - BROOKLYN,40.654293,-74.005889
K372 SPED - BROOKLYN,40.676668,-73.985258
K372 SPED - BROOKLYN,40.676668,-73.985258
K373 SPED - BROOKLYN,40.648585,-73.957282
K373 SPED - BROOKLYN,40.698869,-73.945042
K396 SPED - BROOKLYN,40.668475,-73.912351
K721 SPED - BROOKLYN,40.589317,-73.98131
K721 SPED - BROOKLYN,40.589317,-73.98131
K721 SPED - BROOKLYN,40.589317,-73.98131
K721 SPED - BROOKLYN,40.589317,-73.98131
K811 SPED - BROOKLYN,40.591109,-73.9391
LONG ISLAND CITY HS - Q,40.765826,-73.9328
LONG ISLAND CITY HS - Q,40.765826,-73.9328
LONGWOOD PREPARATORY ACADEMY,40.817512,-73.898212
LOWER EAST SIDE PREP HS - M,40.720581,-73.985645
LOWER EAST SIDE PREP HS - M,40.720581,-73.985645
LOWER MANHATTAN ARTS - MANHATTAN,40.717349,-73.989596
LYONS COMMUNITY SCHOOL - K,40.709941,-73.943641
